An Evaluation of Tail Loss Recovery Mechanisms for TCP.,https://doi.org/10.1145/2717646.2717648,2015,A,Computer Communication Review (ACM SIGCOMM)
Quo vadis Open-IX?,https://doi.org/10.1145/2717646.2717650,2015,A,Computer Communication Review (ACM SIGCOMM)
Life in the Fast Lane: Viewed from the Confluence Lens.,https://doi.org/10.1145/2717646.2717651,2015,A,Computer Communication Review (ACM SIGCOMM)
ACM SIGCOMM Student Mentoring Column.,https://doi.org/10.1145/2717646.2717652,2015,A,Computer Communication Review (ACM SIGCOMM)
SampleLite: A Hybrid Approach to 802.11n Link Adaptation.,https://doi.org/10.1145/2766330.2766332,2015,A,Computer Communication Review (ACM SIGCOMM)
Cluster Based Multipath Routing Protocol for Wireless Sensor Networks.,https://doi.org/10.1145/2766330.2766333,2015,A,Computer Communication Review (ACM SIGCOMM)
A Primer on IPv4 Scarcity.,https://doi.org/10.1145/2766330.2766335,2015,A,Computer Communication Review (ACM SIGCOMM)
The First Named Data Networking Community Meeting: (NDNcomm).,https://doi.org/10.1145/2766330.2766336,2015,A,Computer Communication Review (ACM SIGCOMM)
"Distributed Cloud Computing: Applications, Status Quo, and Challenges.",https://doi.org/10.1145/2766330.2766337,2015,A,Computer Communication Review (ACM SIGCOMM)
Data Transparency Lab Kick Off Workshop (DTL 2014) Report.,https://doi.org/10.1145/2766330.2766338,2015,A,Computer Communication Review (ACM SIGCOMM)
Examples of Research Affecting the Practice of Networking.,https://doi.org/10.1145/2766330.2766339,2015,A,Computer Communication Review (ACM SIGCOMM)
Network Address Translation (NAT).,https://doi.org/10.1145/2766330.2766340,2015,A,Computer Communication Review (ACM SIGCOMM)
ACM SIGCOMM Student Mentoring Column.,https://doi.org/10.1145/2766330.2766341,2015,A,Computer Communication Review (ACM SIGCOMM)
Cooperative group provisioning with latency guarantees in multi-cloud deployments.,https://doi.org/10.1145/2805789.2805791,2015,A,Computer Communication Review (ACM SIGCOMM)
Beyond the Stars: Revisiting Virtual Cluster Embeddings.,https://doi.org/10.1145/2805789.2805792,2015,A,Computer Communication Review (ACM SIGCOMM)
TCP Stretch Acknowledgements and Timestamps: Findings and Implications for Passive RTT Measurement.,https://doi.org/10.1145/2805789.2805793,2015,A,Computer Communication Review (ACM SIGCOMM)
Research challenges in future multi-domain network performance measurement and monitoring.,https://doi.org/10.1145/2805789.2805795,2015,A,Computer Communication Review (ACM SIGCOMM)
Lessons Learned From Using the RIPE Atlas Platform for Measurement Research.,https://doi.org/10.1145/2805789.2805796,2015,A,Computer Communication Review (ACM SIGCOMM)
Workshop on Internet economics (WIE2014) Report.,https://doi.org/10.1145/2805789.2805797,2015,A,Computer Communication Review (ACM SIGCOMM)
ACM SIGCOMM Student Mentoring Column.,https://doi.org/10.1145/2805789.2805798,2015,A,Computer Communication Review (ACM SIGCOMM)
Examples of Research Affecting the Practice of Networking.,https://doi.org/10.1145/2805789.2805799,2015,A,Computer Communication Review (ACM SIGCOMM)
Algorithmic Nuggets in Content Delivery.,https://doi.org/10.1145/2805789.2805800,2015,A,Computer Communication Review (ACM SIGCOMM)
CrowdSurf: Empowering Transparency in the Web.,https://doi.org/10.1145/2831347.2831349,2015,A,Computer Communication Review (ACM SIGCOMM)
Making the Case for Elliptic Curves in DNSSEC.,https://doi.org/10.1145/2831347.2831350,2015,A,Computer Communication Review (ACM SIGCOMM)
Datix: A System for Scalable Network Analytics.,https://doi.org/10.1145/2831347.2831351,2015,A,Computer Communication Review (ACM SIGCOMM)
ReWiFlow: Restricted Wildcard OpenFlow Rules.,https://doi.org/10.1145/2831347.2831352,2015,A,Computer Communication Review (ACM SIGCOMM)
Edge-centric Computing: Vision and Challenges.,https://doi.org/10.1145/2831347.2831354,2015,A,Computer Communication Review (ACM SIGCOMM)
ACM SIGCOMM Student Mentoring Column: Various Student Questions.,https://doi.org/10.1145/2831347.2831355,2015,A,Computer Communication Review (ACM SIGCOMM)
Examples of Research Affecting the Practice of Networking.,https://doi.org/10.1145/2831347.2831356,2015,A,Computer Communication Review (ACM SIGCOMM)
On Technology Transfer.,https://doi.org/10.1145/2831347.2831357,2015,A,Computer Communication Review (ACM SIGCOMM)
